id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type
PS_11556,Repetidor de WiFi Techo Comfast CF-E320NV2,Repetidor de WiFi Techo Comfast CF-E320NV2,in stock,new,7500.00 DOP,6000.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/03/COMFAST-CF-E320N-V2-300-Mbps-wireless-Ap-Techo-AP-802-11b-g-n-AP-Indoor.jpg,JeiperdStore,Repetidor WIFI
PS_92126,Localizador Gps TK905 &#8211; Seguimiento En Tiempo Real,Localizador Gps TK905 &#8211; Seguimiento En Tiempo Real,in stock,new,6500.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/03/TK9054G_3ea071a9-a452-4241-9863-90887b3d966d.png,JeiperdStore,GPS
PS_67384,Mini Proyector Android X4 Android 9.0,Mini Proyector Android X4 Android 9.0,in stock,new,20500.00 DOP,16500.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/03/51g-AKQ9udL.jpg,JeiperdStore,Proyectores
PS_31582,Bocina Bluetooth JBL Clip 3,Bocina Bluetooth JBL Clip 3,in stock,new,5000.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/02/81PKutzVpL._AC_SL1500_.jpg,JeiperdStore,Bocinas Inalámbricas
PS_29413,Mini Teclado LED Backlit H9+ USB,Mini Teclado LED Backlit H9+ USB,in stock,new,2200.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/02/183DB58A-CD35-4898-8C33-DFC64213D6F2.jpeg,JeiperdStore,Teclados Inalámbricos
PS_81796,Gancho Celulares p/ Bicicleta o Motor,Gancho Celulares p/ Bicicleta o Motor,in stock,new,2000.00 DOP,1650.00 DOP,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/02/s-l1600-16.jpg,JeiperdStore,Variedad
PS_36139,Cargador Xiaomi Mi Band 3,Cargador Xiaomi Mi Band 3,in stock,new,1400.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/02/50CCEDEA-1863-4FAE-B98E-7BEEA2086578.jpeg,JeiperdStore,Cargadores y cables
PS_22222,Extensión de Audio 3.5mm 6 pies,Extensión de Audio 3.5mm 6 pies,in stock,new,1050.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/01/C507C95C-08FB-4596-BBF7-BD5DAD14F72D.jpeg,JeiperdStore,Adaptadores
PS_69166,Extensión 3.5 mm (Mic) 9 pies,Extensión 3.5 mm (Mic) 9 pies,in stock,new,1200.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2020/01/E5743AAE-23C9-4DD3-A4DD-0D8EB64DF2B2.jpeg,JeiperdStore,Adaptadores
PS_77375,Cover 360 iPad mini 4/5,Cover 360 iPad mini 4/5,in stock,new,2200.00 DOP,,https://jeiperdsolutions-glitch.github.io/jeiperdshop/,https://portatilshoprd.com/wp-content/uploads/2019/01/8014D683-C2E7-4E71-8D2C-5ADFDAABCF5D.jpeg,JeiperdStore,Cover y protector pantalla
